EffectRowId	CardId	EffectType	TargetScope	TargetTagFilter	ValueType	Value	DurationType	StackRule	TriggerType
720201	7102	ProjectileCountAdd	AllSlots	Projectile	Flat	1	Battle	Additive	OnPick
720301	7103	OnHitExplosionDamage	AllSlots	Fire	Percent	35	Battle	Additive	OnHit
720401	7104	ChainLightningCount	AllSlots	Lightning	Flat	2	Battle	Additive	OnHit
720501	7105	AttackPercent	AllSlots	BossKiller	Percent	30	Battle	Additive	OnPick
721011	8101	AttackPercent	HeroByTag	Sword	Percent	10	Battle	Additive	OnPick
721012	8102	AttackPercent	HeroByTag	Sword	Percent	20	Battle	Additive	OnPick
721013	8103	AttackPercent	HeroByTag	Sword	Percent	30	Battle	Additive	OnPick
721014	8104	AttackPercent	HeroByTag	Sword	Percent	50	Battle	Additive	OnPick
721111	8111	AttackPercent	HeroByTag	Bow	Percent	10	Battle	Additive	OnPick
721112	8112	AttackPercent	HeroByTag	Bow	Percent	20	Battle	Additive	OnPick
721113	8113	AttackPercent	HeroByTag	Bow	Percent	30	Battle	Additive	OnPick
721114	8114	AttackPercent	HeroByTag	Bow	Percent	50	Battle	Additive	OnPick
721211	8121	AttackPercent	HeroByTag	Mage	Percent	10	Battle	Additive	OnPick
721212	8122	AttackPercent	HeroByTag	Mage	Percent	20	Battle	Additive	OnPick
721213	8123	AttackPercent	HeroByTag	Mage	Percent	30	Battle	Additive	OnPick
721214	8124	AttackPercent	HeroByTag	Mage	Percent	50	Battle	Additive	OnPick
721311	8131	AttackPercent	HeroByTag	Axe	Percent	10	Battle	Additive	OnPick
721312	8132	AttackPercent	HeroByTag	Axe	Percent	20	Battle	Additive	OnPick
721313	8133	AttackPercent	HeroByTag	Axe	Percent	30	Battle	Additive	OnPick
721314	8134	AttackPercent	HeroByTag	Axe	Percent	50	Battle	Additive	OnPick
722011	8201	AttackPercent	HeroByTag	Sword	Percent	20	Battle	Additive	OnPick
722012	8202	AttackSpeedPercent	HeroByTag	Sword	Percent	15	Battle	Additive	OnPick
722111	8211	AttackPercent	HeroByTag	Bow	Percent	20	Battle	Additive	OnPick
722112	8212	AttackSpeedPercent	HeroByTag	Bow	Percent	15	Battle	Additive	OnPick
722211	8221	AttackPercent	HeroByTag	Mage	Percent	20	Battle	Additive	OnPick
722212	8222	AttackSpeedPercent	HeroByTag	Mage	Percent	15	Battle	Additive	OnPick
722311	8231	AttackPercent	HeroByTag	Axe	Percent	20	Battle	Additive	OnPick
722312	8232	AttackSpeedPercent	HeroByTag	Axe	Percent	15	Battle	Additive	OnPick
